row_id,date,country,store,product,num_sold
0,2017-01-01,Belgium,KaggleMart,Kaggle Advanced Techniques,663
1,2017-01-01,Belgium,KaggleMart,Kaggle Getting Started,615
2,2017-01-01,Belgium,KaggleMart,Kaggle Recipe Book,480
3,2017-01-01,Belgium,KaggleMart,Kaggle for Kids: One Smart Goose,710
4,2017-01-01,Belgium,KaggleRama,Kaggle Advanced Techniques,240
5,2017-01-01,Belgium,KaggleRama,Kaggle Getting Started,187
6,2017-01-01,Belgium,KaggleRama,Kaggle Recipe Book,158
7,2017-01-01,Belgium,KaggleRama,Kaggle for Kids: One Smart Goose,267
8,2017-01-01,France,KaggleMart,Kaggle Advanced Techniques,610
9,2017-01-01,France,KaggleMart,Kaggle Getting Started,463
10,2017-01-01,France,KaggleMart,Kaggle Recipe Book,407
11,2017-01-01,France,KaggleMart,Kaggle for Kids: One Smart Goose,672
12,2017-01-01,France,KaggleRama,Kaggle Advanced Techniques,220
13,2017-01-01,France,KaggleRama,Kaggle Getting Started,172
14,2017-01-01,France,KaggleRama,Kaggle Recipe Book,140
15,2017-01-01,France,KaggleRama,Kaggle for Kids: One Smart Goose,255
16,2017-01-01,Germany,KaggleMart,Kaggle Advanced Techniques,700
17,2017-01-01,Germany,KaggleMart,Kaggle Getting Started,562
18,2017-01-01,Germany,KaggleMart,Kaggle Recipe Book,460
19,2017-01-01,Germany,KaggleMart,Kaggle for Kids: One Smart Goose,826
20,2017-01-01,Germany,KaggleRama,Kaggle Advanced Techniques,240
21,2017-01-01,Germany,KaggleRama,Kaggle Getting Started,204
22,2017-01-01,Germany,KaggleRama,Kaggle Recipe Book,163
23,2017-01-01,Germany,KaggleRama,Kaggle for Kids: One Smart Goose,282
24,2017-01-01,Italy,KaggleMart,Kaggle Advanced Techniques,497
25,2017-01-01,Italy,KaggleMart,Kaggle Getting Started,404
26,2017-01-01,Italy,KaggleMart,Kaggle Recipe Book,346
27,2017-01-01,Italy,KaggleMart,Kaggle for Kids: One Smart Goose,534
28,2017-01-01,Italy,KaggleRama,Kaggle Advanced Techniques,190
29,2017-01-01,Italy,KaggleRama,Kaggle Getting Started,149
30,2017-01-01,Italy,KaggleRama,Kaggle Recipe Book,124
31,2017-01-01,Italy,KaggleRama,Kaggle for Kids: One Smart Goose,187
32,2017-01-01,Poland,KaggleMart,Kaggle Advanced Techniques,222
33,2017-01-01,Poland,KaggleMart,Kaggle Getting Started,186
34,2017-01-01,Poland,KaggleMart,Kaggle Recipe Book,146
35,2017-01-01,Poland,KaggleMart,Kaggle for Kids: One Smart Goose,236
36,2017-01-01,Poland,KaggleRama,Kaggle Advanced Techniques,79
37,2017-01-01,Poland,KaggleRama,Kaggle Getting Started,63
38,2017-01-01,Poland,KaggleRama,Kaggle Recipe Book,50
39,2017-01-01,Poland,KaggleRama,Kaggle for Kids: One Smart Goose,92
40,2017-01-01,Spain,KaggleMart,Kaggle Advanced Techniques,447
41,2017-01-01,Spain,KaggleMart,Kaggle Getting Started,364
42,2017-01-01,Spain,KaggleMart,Kaggle Recipe Book,313
43,2017-01-01,Spain,KaggleMart,Kaggle for Kids: One Smart Goose,451
44,2017-01-01,Spain,KaggleRama,Kaggle Advanced Techniques,159
45,2017-01-01,Spain,KaggleRama,Kaggle Getting Started,123
46,2017-01-01,Spain,KaggleRama,Kaggle Recipe Book,113
47,2017-01-01,Spain,KaggleRama,Kaggle for Kids: One Smart Goose,181
48,2017-01-02,Belgium,KaggleMart,Kaggle Advanced Techniques,514
49,2017-01-02,Belgium,KaggleMart,Kaggle Getting Started,408
50,2017-01-02,Belgium,KaggleMart,Kaggle Recipe Book,342
51,2017-01-02,Belgium,KaggleMart,Kaggle for Kids: One Smart Goose,601
52,2017-01-02,Belgium,KaggleRama,Kaggle Advanced Techniques,187
53,2017-01-02,Belgium,KaggleRama,Kaggle Getting Started,158
54,2017-01-02,Belgium,KaggleRama,Kaggle Recipe Book,119
55,2017-01-02,Belgium,KaggleRama,Kaggle for Kids: One Smart Goose,196
56,2017-01-02,France,KaggleMart,Kaggle Advanced Techniques,455
57,2017-01-02,France,KaggleMart,Kaggle Getting Started,364
58,2017-01-02,France,KaggleMart,Kaggle Recipe Book,286
59,2017-01-02,France,KaggleMart,Kaggle for Kids: One Smart Goose,506
60,2017-01-02,France,KaggleRama,Kaggle Advanced Techniques,159
61,2017-01-02,France,KaggleRama,Kaggle Getting Started,131
62,2017-01-02,France,KaggleRama,Kaggle Recipe Book,101
63,2017-01-02,France,KaggleRama,Kaggle for Kids: One Smart Goose,180
64,2017-01-02,Germany,KaggleMart,Kaggle Advanced Techniques,537
65,2017-01-02,Germany,KaggleMart,Kaggle Getting Started,410
66,2017-01-02,Germany,KaggleMart,Kaggle Recipe Book,355
67,2017-01-02,Germany,KaggleMart,Kaggle for Kids: One Smart Goose,594
68,2017-01-02,Germany,KaggleRama,Kaggle Advanced Techniques,185
69,2017-01-02,Germany,KaggleRama,Kaggle Getting Started,145
70,2017-01-02,Germany,KaggleRama,Kaggle Recipe Book,134
71,2017-01-02,Germany,KaggleRama,Kaggle for Kids: One Smart Goose,214
72,2017-01-02,Italy,KaggleMart,Kaggle Advanced Techniques,391
73,2017-01-02,Italy,KaggleMart,Kaggle Getting Started,330
74,2017-01-02,Italy,KaggleMart,Kaggle Recipe Book,245
75,2017-01-02,Italy,KaggleMart,Kaggle for Kids: One Smart Goose,409
76,2017-01-02,Italy,KaggleRama,Kaggle Advanced Techniques,135
77,2017-01-02,Italy,KaggleRama,Kaggle Getting Started,101
78,2017-01-02,Italy,KaggleRama,Kaggle Recipe Book,85
79,2017-01-02,Italy,KaggleRama,Kaggle for Kids: One Smart Goose,152
80,2017-01-02,Poland,KaggleMart,Kaggle Advanced Techniques,161
81,2017-01-02,Poland,KaggleMart,Kaggle Getting Started,135
82,2017-01-02,Poland,KaggleMart,Kaggle Recipe Book,102
83,2017-01-02,Poland,KaggleMart,Kaggle for Kids: One Smart Goose,199
84,2017-01-02,Poland,KaggleRama,Kaggle Advanced Techniques,55
85,2017-01-02,Poland,KaggleRama,Kaggle Getting Started,45
86,2017-01-02,Poland,KaggleRama,Kaggle Recipe Book,40
87,2017-01-02,Poland,KaggleRama,Kaggle for Kids: One Smart Goose,67
88,2017-01-02,Spain,KaggleMart,Kaggle Advanced Techniques,339
89,2017-01-02,Spain,KaggleMart,Kaggle Getting Started,266
90,2017-01-02,Spain,KaggleMart,Kaggle Recipe Book,236
91,2017-01-02,Spain,KaggleMart,Kaggle for Kids: One Smart Goose,379
92,2017-01-02,Spain,KaggleRama,Kaggle Advanced Techniques,124
93,2017-01-02,Spain,KaggleRama,Kaggle Getting Started,104
94,2017-01-02,Spain,KaggleRama,Kaggle Recipe Book,74
95,2017-01-02,Spain,KaggleRama,Kaggle for Kids: One Smart Goose,123
96,2017-01-03,Belgium,KaggleMart,Kaggle Advanced Techniques,549
97,2017-01-03,Belgium,KaggleMart,Kaggle Getting Started,425
98,2017-01-03,Belgium,KaggleMart,Kaggle Recipe Book,334
99,2017-01-03,Belgium,KaggleMart,Kaggle for Kids: One Smart Goose,515
100,2017-01-03,Belgium,KaggleRama,Kaggle Advanced Techniques,172
101,2017-01-03,Belgium,KaggleRama,Kaggle Getting Started,131
102,2017-01-03,Belgium,KaggleRama,Kaggle Recipe Book,120
103,2017-01-03,Belgium,KaggleRama,Kaggle for Kids: One Smart Goose,188
104,2017-01-03,France,KaggleMart,Kaggle Advanced Techniques,465
105,2017-01-03,France,KaggleMart,Kaggle Getting Started,362
106,2017-01-03,France,KaggleMart,Kaggle Recipe Book,252
107,2017-01-03,France,KaggleMart,Kaggle for Kids: One Smart Goose,433
108,2017-01-03,France,KaggleRama,Kaggle Advanced Techniques,155
109,2017-01-03,France,KaggleRama,Kaggle Getting Started,114
110,2017-01-03,France,KaggleRama,Kaggle Recipe Book,101
111,2017-01-03,France,KaggleRama,Kaggle for Kids: One Smart Goose,161
112,2017-01-03,Germany,KaggleMart,Kaggle Advanced Techniques,510
113,2017-01-03,Germany,KaggleMart,Kaggle Getting Started,415
114,2017-01-03,Germany,KaggleMart,Kaggle Recipe Book,338
115,2017-01-03,Germany,KaggleMart,Kaggle for Kids: One Smart Goose,558
116,2017-01-03,Germany,KaggleRama,Kaggle Advanced Techniques,193
117,2017-01-03,Germany,KaggleRama,Kaggle Getting Started,127
118,2017-01-03,Germany,KaggleRama,Kaggle Recipe Book,119
119,2017-01-03,Germany,KaggleRama,Kaggle for Kids: One Smart Goose,191
120,2017-01-03,Italy,KaggleMart,Kaggle Advanced Techniques,336
121,2017-01-03,Italy,KaggleMart,Kaggle Getting Started,268
122,2017-01-03,Italy,KaggleMart,Kaggle Recipe Book,245
123,2017-01-03,Italy,KaggleMart,Kaggle for Kids: One Smart Goose,361
124,2017-01-03,Italy,KaggleRama,Kaggle Advanced Techniques,128
125,2017-01-03,Italy,KaggleRama,Kaggle Getting Started,95
126,2017-01-03,Italy,KaggleRama,Kaggle Recipe Book,91
127,2017-01-03,Italy,KaggleRama,Kaggle for Kids: One Smart Goose,127
128,2017-01-03,Poland,KaggleMart,Kaggle Advanced Techniques,172
129,2017-01-03,Poland,KaggleMart,Kaggle Getting Started,121
130,2017-01-03,Poland,KaggleMart,Kaggle Recipe Book,107
131,2017-01-03,Poland,KaggleMart,Kaggle for Kids: One Smart Goose,171
132,2017-01-03,Poland,KaggleRama,Kaggle Advanced Techniques,60
133,2017-01-03,Poland,KaggleRama,Kaggle Getting Started,47
134,2017-01-03,Poland,KaggleRama,Kaggle Recipe Book,35
135,2017-01-03,Poland,KaggleRama,Kaggle for Kids: One Smart Goose,61
136,2017-01-03,Spain,KaggleMart,Kaggle Advanced Techniques,320
137,2017-01-03,Spain,KaggleMart,Kaggle Getting Started,271
138,2017-01-03,Spain,KaggleMart,Kaggle Recipe Book,211
139,2017-01-03,Spain,KaggleMart,Kaggle for Kids: One Smart Goose,335
140,2017-01-03,Spain,KaggleRama,Kaggle Advanced Techniques,113
141,2017-01-03,Spain,KaggleRama,Kaggle Getting Started,87
142,2017-01-03,Spain,KaggleRama,Kaggle Recipe Book,69
143,2017-01-03,Spain,KaggleRama,Kaggle for Kids: One Smart Goose,125
144,2017-01-04,Belgium,KaggleMart,Kaggle Advanced Techniques,477
145,2017-01-04,Belgium,KaggleMart,Kaggle Getting Started,384
146,2017-01-04,Belgium,KaggleMart,Kaggle Recipe Book,328
147,2017-01-04,Belgium,KaggleMart,Kaggle for Kids: One Smart Goose,517
148,2017-01-04,Belgium,KaggleRama,Kaggle Advanced Techniques,177
149,2017-01-04,Belgium,KaggleRama,Kaggle Getting Started,134
150,2017-01-04,Belgium,KaggleRama,Kaggle Recipe Book,115
151,2017-01-04,Belgium,KaggleRama,Kaggle for Kids: One Smart Goose,169
152,2017-01-04,France,KaggleMart,Kaggle Advanced Techniques,465
153,2017-01-04,France,KaggleMart,Kaggle Getting Started,311
154,2017-01-04,France,KaggleMart,Kaggle Recipe Book,281
155,2017-01-04,France,KaggleMart,Kaggle for Kids: One Smart Goose,460
156,2017-01-04,France,KaggleRama,Kaggle Advanced Techniques,152
157,2017-01-04,France,KaggleRama,Kaggle Getting Started,119
158,2017-01-04,France,KaggleRama,Kaggle Recipe Book,102
159,2017-01-04,France,KaggleRama,Kaggle for Kids: One Smart Goose,163
